,HadGEM3-GC31-HH_control,HadGEM3-GC31-HH_historical,EC-Earth3P-HR_control,EC-Earth3P-HR_historical,CNRM-CM6-1-HR_control,CNRM-CM6-1-HR_historical,CMCC-CM2-VHR4_control,CMCC-CM2-VHR4_historical,MPI-ESM1-2-HR_control,MPI-ESM1-2-HR_historical,MPI-ESM1-2-XR_control,MPI-ESM1-2-XR_historical,eORCA025_ERA5,eORCA025_JRA55,EN4,ORAS5
1978-10-31,-0.6276734008664421,-0.28063464369680857,0.15011474779731612,-0.20151951403454005,-0.0817582896890715,-0.17096600478981086,-2.1600472961127326,-0.5518003162117101,-0.19822657457857074,-1.284381227993978,0.3770164003351191,-0.3196117669258183,-0.48439954717954,-1.0771811604499817,-0.0665433661325177,-0.5861639646932861
1978-11-30,-0.6747280349813475,-0.2309421440448267,0.1990628817015221,-0.38720722834693894,-0.0756003497596458,-0.23999339746538761,-2.151500069760218,-0.7249311268782329,-0.014236713233456044,-1.0663378218666941,0.7272894577456563,-0.34735908275888633,-0.4015892644723256,-0.9577325582504272,-0.08219991386638377,-0.6911325635925428
1978-12-31,-0.7087287636798488,-0.2128187490479545,0.2019501691922707,-0.6344187480563322,-0.20290633788816428,-0.3692430968201803,-2.1194548865930987,-0.8247457036545335,0.06217310424258105,-0.8852224692081737,1.0421739397694356,-0.4119799710242887,-0.2614672854542732,-0.7231766978899637,0.06307662405767187,-0.5758928786072058
1979-01-31,-0.8477975301540726,-0.2944396288599191,0.25368033439336,-0.8106124796591349,-0.2731414347405996,-0.5593964491366902,-2.039164805416589,-0.8706055519032582,0.04943051274048695,-0.6637093383590468,1.298518524922869,-0.26155204497112394,-0.1447802595794201,-0.5047651628653208,0.07435640088306006,-0.35368930903490997
1979-02-28,-1.0169948038969105,-0.5174671694089914,0.2988012089623216,-0.8832166207630753,-0.1274949398251456,-0.662227635914757,-1.700906342700202,-1.062011421936653,-0.0855612324688685,-0.5200421225718662,1.3413389334054335,0.0004706505848904863,0.03693081811070442,-0.22275476902723312,0.20390216862198182,-0.10115762159253859
1979-03-31,-1.0433640811589606,-0.694213947279791,0.2437041987047713,-0.8271370001059788,-0.030250433606708992,-0.7114969736996523,-1.222586765967075,-1.3173482668153635,-0.32266533406618486,-0.7312494602165924,1.1423852065079758,0.16528580055756215,0.1436917893588543,-0.055291714767615,0.24302305149287032,0.03970783798027852
1979-04-30,-0.9268255527519044,-0.9642880223987523,0.02317352808141813,-0.531179464605113,0.030524204606572694,-0.5676467928227571,-0.6843257624359702,-1.3463613135018644,-0.615544799598422,-1.126639979488626,0.9013982587019699,0.04674682736589503,0.1701942520836989,0.04439945643146833,0.3484826547515878,0.14739192023711065
1979-05-31,-0.8137172689482709,-1.1228369397090645,-0.2104287183130459,-0.2938381404337859,0.03227508534697525,-0.5747714821438051,-0.3226564350627418,-1.102590689659886,-0.8952805865939885,-1.4297741904607397,0.6521681607576425,-0.21158079646411002,0.13811426237225533,0.020295741657416027,0.2477735890372088,0.1733768098978257
1979-06-30,-0.8084986667977051,-1.154712772797531,-0.30403592253725226,-0.09249820928942996,0.09475612074097473,-0.5979443773912689,0.1704356981963017,-0.7505018314235969,-0.8635659847399145,-1.2899823796773855,0.6119433431818706,-0.35285128041962444,0.16878215844432512,0.012536179274320602,0.20678211362361357,0.1583216340607406
1979-07-31,-0.8991901802851485,-1.1298686743759645,-0.29989467082665366,-0.09682206454537107,0.06255975368841056,-0.7961826253953689,0.7023228385910775,-0.5806160110099284,-0.7585420405245681,-0.9380701001995311,0.47101487663087865,-0.19625598866950458,0.18677107244729996,0.03457781051596006,0.34688368415128834,0.021836746508868198
1979-08-31,-1.0961464220237813,-1.1131675372668637,-0.36749807317034855,-0.06206603760236637,0.06544913094231943,-0.8036849639308,1.200797589985027,-0.4152045351349318,-0.5015226967704051,-0.7336638964838743,0.5231389802539401,-0.001663470969499777,0.2483252411087354,0.10479998091856639,0.5653578721186595,0.011794231925551513
1979-09-30,-1.270770378898484,-0.9996494747125793,-0.5100737074718501,-0.09495478488217794,-0.009122732401289366,-0.7441348730511805,1.4931936097521188,-0.28126963632952345,-0.30419677599243977,-0.6067415419574904,0.4943029019748137,0.1923546470569947,0.4144555355111758,0.3024303677181403,0.7181082459388345,0.14648162201783413
1979-10-31,-1.4179152245962297,-0.7650194499512262,-0.7010256418012947,-0.09739100956832313,-0.0404581162724867,-0.6138873791010434,1.6188498185156845,-0.07556642252317095,-0.1282878232425602,-0.5487821286369693,0.544884251835198,0.2753505532021823,0.6282479961713155,0.40864772101243335,0.7199867924492459,0.3130026993217601
1979-11-30,-1.471391826490172,-0.6637298575503178,-0.8392737177809444,-0.0344551264854861,-0.1248264555450468,-0.5466592099036481,1.64055437834155,0.14466101355256758,-0.1551098820085059,-0.560528574383023,0.5383769941379885,0.2346045430222116,0.7639209429423014,0.4599231779575348,0.7231864500992811,0.39682140295524077
1979-12-31,-1.5470148841508136,-0.7845742724287433,-1.0322239457396767,-0.04692628168804639,-0.015664245136936417,-0.47858240732138985,1.6879838552094582,0.41066952337961665,-0.19168185258324869,-0.6890360960884391,0.6070936233056109,0.23539566174968427,0.7570793032646179,0.36951563755671185,0.8174796531284106,0.3885757995006241
1980-01-31,-1.610527318432011,-0.9888575163616228,-1.0980464457906318,-0.1099315797527236,0.037958438434265114,-0.48239074859620046,1.7439465649868247,0.6174270543941691,-0.15703841936478513,-0.7322771196973891,0.7541672292305982,0.21240589735919388,0.7337806224822998,0.35301347573598224,0.9834555859093052,0.42216263723472225
1980-02-29,-1.5589833905132506,-1.0783075118356302,-1.1154215973218111,-0.19829842754134033,0.15291170525543618,-0.498459650837932,1.7781160869182013,0.752315985898529,0.029663852828387682,-0.6226169945497114,0.760409230836034,0.30463504337994857,0.6169808606306711,0.3410989244778951,0.9191581007625818,0.38475737457725345
1980-03-31,-1.4326017502099557,-0.9560449349670703,-1.0424222288724885,-0.18008786647228736,0.20279179733851108,-0.4917915430549716,1.5612112792890063,0.8209881608089921,0.367613356846398,-0.22499387577288243,0.740168810696351,0.34743647658686627,0.4093443105618159,0.2841546485821406,0.7531411463814299,0.29365973634756337
1980-04-30,-1.0785313623967936,-0.7124261806062512,-1.148847431236263,0.04700816762592001,0.26291081031731817,-0.44509495431941,1.3380110457069396,0.766559025599182,0.8051842906207177,0.10810115059956571,0.5947865519135928,0.42706322785101714,0.33528946340084076,0.29025837282339734,0.5838608449604367,0.2503166234377993
1980-05-31,-0.7253946015943695,-0.33347603554059774,-1.1992621351314197,0.224503206605573,0.3327585282826044,-0.4969373934225339,1.2539835742309693,0.7591130413186699,1.1154323790242173,-0.07961039459331405,0.47266239188404224,0.5140038128566741,0.41498742004235584,0.33044088383515674,0.5929986033622296,0.2593117843776997
1980-06-30,-0.3492927198833085,0.030997036131271583,-1.111903863189316,0.40230299378301476,0.35574390623713686,-0.5484706719043864,1.2605942223057818,0.7370823089128636,1.307680104842209,-0.4860952382498409,0.47710860308112446,0.6415101028156486,0.5717883805433909,0.4725088874499003,0.7344764289305564,0.32317748315257305
1980-07-31,-0.08576694040842932,0.28183050425643597,-0.8502304864701299,0.33167526092022925,0.47014441897430603,-0.5861606889720754,1.1546513787250283,0.9285127315563043,1.2301633875800217,-0.7764710839693766,0.2804824533162084,0.8357784382185766,0.5370820860068003,0.47096091508865356,0.7555121194002429,0.18999851122579312
1980-08-31,0.12660820482514132,0.44961137036508797,-0.5802679448942062,0.29710585671465367,0.5120655568887779,-0.4114947898840919,0.9266712779459111,1.1714262486263538,1.1723861342587198,-0.4656415718865697,0.20861264802177934,0.9226696656745806,0.39396927257378894,0.35088954617579776,0.7150365626509169,0.0011453937601140958
1980-09-30,0.30728870474790243,0.5440944415626008,-0.34070555735320146,0.32900019409936637,0.5035577820608199,-0.31192016752859847,0.7162008483463023,1.4523203439186947,1.0351791658494152,-0.0015566978390415542,-0.071993194203534,1.0711435319749834,0.14845958103736243,0.06415051470200221,0.5061624529105457,-0.2007270595902145
1980-10-31,0.24615514313395417,0.7373875660880339,-0.3083986935620697,0.38549659852688034,0.44927685689764973,-0.20738554380829347,0.4008578488668071,1.5810923053441173,0.8751317671865372,0.1747650199229179,-0.14676258030232642,1.000348219835612,0.010851765672365824,-0.1692681983113289,0.3089131000265539,-0.23375632009828462
1980-11-30,0.23847355617413743,0.9355057234344367,-0.4143486428776621,0.38378576095581085,0.38922836157550345,-0.15407081577294604,0.1297748255992196,1.6827736535022575,0.8257998816228144,0.1668163039571776,-0.268221769178812,1.0373520032136259,-0.07771422589818637,-0.3194763859113057,0.2729119230646524,-0.21512336785597028
1980-12-31,0.2782661092069116,1.1293475907513837,-0.6440428283808982,0.3447340402439001,0.41584294885425255,-0.13387192587666308,-0.1830440806134533,1.7402687151727985,0.7927614614239743,0.17146130829312034,-0.26239469791886105,1.0343136453775916,-0.07315601781010628,-0.3468843201796214,0.24807855466825035,-0.17554548270040538
1981-01-31,0.462729594655207,1.2542029320892827,-0.8649106409639259,0.40620351358297535,0.5736286747077531,-0.1266294538041106,-0.2845629394598756,1.7620927659113155,0.8928058767279969,0.24479301686186694,-0.4407911870610846,1.2170953997488019,-0.18898221477866173,-0.3727863132953644,0.13625053047889799,-0.30828405645684365
1981-02-28,0.629386305587209,1.3594295546564237,-1.0052236217031352,0.4730964807404095,0.7819723778774091,-0.17443083093921885,-0.5159203593414896,1.5372812166386296,0.9426147008642038,0.3780837643517525,-0.7098176008372717,1.3986492993989694,-0.4513158053159714,-0.5383951266606649,-0.0040310253487334064,-0.5649275053320751
1981-03-31,0.6084333705804913,1.3899115451501665,-0.9901453477971769,0.3822187253415646,0.944563082841884,-0.23688244113250942,-0.5778317092834043,1.0852557308455915,0.9231351170868961,0.40512941639672767,-1.0432346619061403,1.4007427033781825,-0.5848008195559183,-0.5611811776955923,-0.20090331999620004,-0.7436983789700005
1981-04-30,0.5997130134181073,1.4311767826088089,-0.7672976960799954,0.20048456406678514,0.7974680175935065,-0.40689274380256313,-0.5688270529385969,0.42643262950048766,0.8735180639807525,0.5581245825248194,-0.9747650472794116,1.1498925549810306,-0.5527380009492239,-0.5141267577807108,-0.18911655454975526,-0.7725699512237606
1981-05-31,0.5040346564854016,1.3001202065192403,-0.6965089815470638,0.09060236430463132,0.5202750754528793,-0.5612113033736931,-0.38354161616929144,-0.07540719100194433,0.7567350594831744,0.8059935637795652,-0.7553027391279098,0.9261885335257863,-0.32933396597703296,-0.26099619021018344,-0.036372049817320805,-0.6541512576822263
1981-06-30,0.44837198860390154,1.130916075715682,-0.6963057105285779,0.22424560239629124,0.21903394680663948,-0.4312551161558436,-0.3191765900372671,-0.5936584662840746,0.7655611652486076,1.251477306654343,-0.6284593840624808,0.9226947071847363,-0.16841121762990952,-0.20464976380268732,0.1883143555104768,-0.5640901302223468
1981-07-31,0.3613434423956127,1.0883502687163933,-0.6877555995520431,0.4179933911292119,0.10107997251321647,-0.11767386999884115,-0.36785731497699353,-1.016473087180105,0.6399934377272792,1.6555581270441042,-0.7272168126485998,1.1000161035327993,-0.1235427235563596,-0.23013016333182654,0.05632341545348962,-0.5109978521168465
1981-08-31,0.31575118626669235,1.240676553300575,-0.5697227464247198,0.6216619620335816,-0.02335639150749656,0.2469965575524974,-0.3937832348686299,-1.5479943495500113,0.551733937276072,1.8610275850236953,-0.6234290999161334,1.1957018747266026,-0.1106745998064677,-0.294987012942632,-0.2245197961379927,-0.49508995111148996
1981-09-30,0.360474926382806,1.3751248306528385,-0.4905959980061075,0.7201510226028036,-0.1923265041440465,0.47126145545579323,-0.3585629137642263,-1.9590941785942377,0.39847038370652826,1.7720765778581182,-0.4430434007487351,1.0203817149585872,-0.1352094387014707,-0.33747056126594543,-0.23009509651984417,-0.5010482737958238
1981-10-31,0.4021493932108,1.293705260592844,-0.5014283357545289,0.7858025714590037,-0.27523111759936314,0.5227672398831553,-0.31315967836134234,-2.261964430623268,0.34865736588074975,1.6325435933254469,-0.3600469618990776,0.7276148936078605,-0.16957905143499374,-0.3566429913043976,0.011100633932298811,-0.4862674941043476
1981-11-30,0.4097562464492929,1.1620902271088658,-0.536724645136451,0.96317217901042,-0.3794404927043476,0.4852520033763688,-0.37388960650694564,-2.503826513941774,0.2637038831137161,1.6261446134043354,-0.5792259186801124,0.49816700762578864,-0.2888101090987523,-0.4269697566827138,0.2496140597233112,-0.48403928416094844
1981-12-31,0.3685353416142967,1.1428643665064453,-0.5846600096763087,1.3263700609838074,-0.43398820113376707,0.2975299248072118,-0.3810969678641722,-2.480522088144791,0.10703413190322003,1.759168513590156,-0.7640165602086015,0.3973151072154503,-0.4197417696317037,-0.5017597874005636,0.11148583484533532,-0.4956275449137373
1982-01-31,0.34570130372237196,1.1435539826603611,-0.6911360362287438,1.8428624243072222,-0.587405774862679,0.16017488935427063,-0.40291730453489666,-2.567538813238034,0.03387673056905164,1.7760795101517888,-0.9631915660937592,0.3201629086167896,-0.4307831923166911,-0.47383368015289307,0.05258187980334822,-0.4301810285961291
1982-02-28,0.38255810384904004,1.0170559410859576,-0.7493664627229336,2.183018178989465,-0.6241977006791695,0.04147348641313418,-0.2921570438923484,-2.604358833948983,-0.07212945295499835,1.6887736969306992,-1.062592003284138,0.2309500577923016,-0.3366168489058812,-0.40200625856717426,0.07133192019337559,-0.33143185612193443
1982-03-31,0.42936681727447135,0.7381772990312271,-0.8005364813904287,2.1193965028939656,-0.6232279555407224,-0.05089931700257803,-0.23597761334678347,-2.568308413361527,-0.29806058790270334,1.4819982918467014,-1.0156980650267895,0.23020047119152764,-0.21935990204413733,-0.3015611370404561,0.12694403434195486,-0.18362621542884397
1982-04-30,0.31329554525414,0.4401173839526677,-0.8324561491488417,1.7965524285602872,-0.5503940942287032,0.047924985646606855,-0.11352084424566501,-2.2574179160763097,-0.7030273831407735,1.1847378063777227,-0.6418231150800616,0.13429677123979564,0.006161890923976898,-0.15987674022714296,0.10578119761277992,0.04438509262750926
1982-05-31,0.09349807247213354,0.12196134241202483,-0.8268746297726902,1.44608374327293,-0.45596149616280873,0.2956438449553629,-0.026999475349604826,-1.9842667758399326,-1.087665710636643,0.803180222092712,-0.2278709530984682,-0.07808434721710562,0.27322986473639804,0.030644956976175308,0.12648632094817117,0.34731397915074513
1982-06-30,-0.08152302527619892,-0.07837509245618708,-0.7688828943005781,1.0452347085913165,-0.20504455674171992,0.6045050470046672,0.1306116946169772,-1.784572776725609,-1.2253701265805763,0.24974709207934978,-0.11251701200567889,-0.3737253455942584,0.561324954032898,0.30542996898293495,0.17266911718434416,0.645140072672917
1982-07-31,-0.20850766255618272,-0.25357067249061077,-0.6321254212637075,0.44452444302073163,0.02670158101677105,0.8794143721276454,0.3577484237618651,-1.6885385296851316,-1.0902309658477507,-0.26089042572450133,-0.2281707797954957,-0.5761628264850248,0.7365118066469828,0.5725320180257162,0.30635764065907406,0.8076071711055347
1982-08-31,-0.35510938110315143,-0.2818158728905494,-0.4704661884955585,-0.15205230635532466,0.04293440022851053,1.0740893258599151,0.5777085619820936,-1.4902396019101039,-0.8636050329797144,-0.7214236610425008,-0.3034944069285365,-0.7590583492095302,0.9528486728668213,0.9107678731282552,0.34986189342236934,0.9952085578185056
1982-09-30,-0.632728884257698,-0.3963374443413101,-0.21541989862648592,-0.5156440331719868,-0.11805880796833701,1.1523665795086468,0.7314373611756514,-1.3330475929502723,-0.7067274014993057,-0.821565201564907,-0.26658454735049525,-0.8066185484985297,1.3085894385973613,1.3291256427764893,0.7870502674380463,1.2230951644586516
1982-10-31,-0.7653988180440892,-0.5392058356793995,0.014717212359742179,-0.7161989765543991,-0.19547381888678653,1.0820139441258114,0.8310275754734988,-1.1456705331991925,-0.678577273715835,-0.6246570271683853,-0.1910288436975145,-0.8277517057126751,1.8729937473932903,1.8704278866449993,1.2156360748544879,1.614839506870803
1982-11-30,-0.7664464200093684,-0.7177744299943671,0.15190756053591212,-0.9810960945684585,-0.25031488412640024,0.9681540992069975,0.8983508668857138,-1.0087547684968505,-0.8529265730671041,-0.4486974976680522,-0.17576644938530409,-0.788050024864383,2.445187250773112,2.417884588241577,1.7298731462478754,2.030063346294146
1982-12-31,-0.6143427821945451,-0.7923388796371,0.20971607867024492,-1.2410313258181918,-0.3439098055809285,0.9021386810699606,1.0387070595490553,-0.9556539249268635,-0.9143410710308606,-0.5875902021182935,-0.1162493939824198,-0.93644446642256,2.850113789240519,2.8396894931793213,1.8299440447402848,2.3756795585423642
1983-01-31,-0.4905396604441951,-0.829715419655973,0.2811173188220718,-1.3266856022385258,-0.5015851643624001,0.8454370558560234,1.1664451770213369,-0.8421602021253451,-0.9209999732528176,-0.8678462705171274,-0.0023714283886888212,-0.9914178275522866,2.97729484240214,2.9796934127807617,1.8406370026108245,2.5541373291952048
1983-02-28,-0.39363285033973733,-0.8381934156788876,0.38461220051252426,-1.226016802355465,-0.5628789511464559,0.7697949336124368,1.1747536329246426,-0.630363393952627,-0.9183295888936804,-0.9922782013800604,-0.04700066437253255,-0.8446877849549247,2.8820658524831138,2.77193284034729,1.7001686004532257,2.4532277640135822
